"module","primary_review","risk_level","claims_to_verify","status","reviewer","review_date","evidence_location"
"0","coaching ethics + clinical safety + legal","critical","scope of coaching; role boundaries; crisis handoff; certificate wording","pending","","",""
"1","coaching supervision + inclusion","high","bias; projection; dependency; boundaries","pending","","",""
"2","coaching ethics + privacy/legal","critical","intake minimization; confidentiality exceptions; recording; AI consent","pending","","",""
"3","coaching skills + accessibility","medium","layers of listening; limits of nonverbal inference","pending","","",""
"4","coaching skills + clinical safety","high","suggestive questions; consent; trauma and false-memory boundary","pending","","",""
"5","behavior change + coaching skills","medium","SMART limitations; locus of control; action planning","pending","","",""
"6","behavior science + clinical safety","high","habit claims; rewards; addiction and eating-disorder boundary","pending","","",""
"7","coaching methodology","medium","GROW; HEART definition used by Elitea; Wheel of Life; journaling risks","pending","","",""
"8","privacy/legal + accessibility","critical","GDPR; AI transcription; sponsor reporting; complaint handling","pending","","",""
"9","evidence review + clinical safety","critical","NLP evidence; memory work; trauma/fobia claims; anchoring","pending","","",""
"10","psychology + inclusion","high","emotional intelligence; mirror-neuron claims; cultural meaning of behavior","pending","","",""
"11","learning science + neuroscience","high","growth mindset effects; neuroplasticity limits; confidence calibration","pending","","",""
"12","clinical safety + mindfulness","critical","mindfulness adverse effects; breath retention; panic and dissociation response","pending","","",""
"13","psychology + inclusion","high","self-talk; reframing; discrimination and real-world constraints","pending","","",""
"14","clinical psychology","critical","emotion causation; panic; trauma; suicide-risk and crisis boundary","pending","","",""
"15","clinical psychology + workplace safety","critical","schema language; belief work; protective rules; behavioral experiments","pending","","",""
"16","clinical psychology + legal/financial boundary","critical","exposure boundary; decision risk; referral for regulated advice","pending","","",""
"17","consumer/legal + coaching methodology","critical","marketing claims; pricing; group confidentiality; final certification","pending","","",""
