"asset_id","module","type","working_title","duration_target","script_status","content_review","safety_review","shoot_status","edit_status","publish_status"
"LC-M00-MASTER","0","masterclass","Kde koučink začíná a kde musí skončit","10–14 min","shoot-ready","pending","pending","not-shot","not-edited","not-published"
"LC-M00-LAB","0","lab-briefing","Mapa role a zakázaných slibů","2–4 min","shoot-ready","pending","as-needed","not-shot","not-edited","not-published"
"LC-M00-SIM","0","simulation-briefing","Elitea žádá terapii pod názvem koučink","1–1.5 min","shoot-ready","pending","as-needed","not-shot","not-edited","not-published"
"LC-M01-MASTER","1","masterclass","Největší slepé místo jsi někdy ty","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M01-LAB","1","lab-briefing","Deník spouštěčů a osobní kodex","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M01-SIM","1","simulation-briefing","Oblíbená klientka a dvojí metr","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M02-MASTER","2","masterclass","Kontrakt, který drží celé sezení","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M02-LAB","2","lab-briefing","Sada dokumentů první spolupráce","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M02-SIM","2","simulation-briefing","Zakázka se mění ve třicáté minutě","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M03-MASTER","3","masterclass","Poslech, při kterém si nic nedomýšlíš","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M03-LAB","3","lab-briefing","Transkript desetiminutového poslechu","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M03-SIM","3","simulation-briefing","Elitea opravuje tvoji parafrázi","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M04-MASTER","4","masterclass","Otázka, která otevírá — nevede","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M04-LAB","4","lab-briefing","Banka 80 otázek s filtrem","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M04-SIM","4","simulation-briefing","Jedna otázka, potom skutečně poslouchej","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M05-MASTER","5","masterclass","Od přání k cíli v klientčině vlivu","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M05-LAB","5","lab-briefing","Od přání k testovatelnému plánu","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M05-SIM","5","simulation-briefing","Klientka chce výsledek druhého člověka","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M06-MASTER","6","masterclass","Accountability bez dozoru a studu","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M06-LAB","6","lab-briefing","Behaviorální mapa jednoho týdne","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M06-SIM","6","simulation-briefing","Accountability, která začala dusit","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M07-MASTER","7","masterclass","GROW, HEART a Kolo života bez mechaniky","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M07-LAB","7","lab-briefing","Tři nástroje na jeden případ","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M07-SIM","7","simulation-briefing","Elitea odmítá rámec","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M08-MASTER","8","masterclass","Dokumentace, která chrání klientku i praxi","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M08-LAB","8","lab-briefing","Audit 12 formulářů","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M08-SIM","8","simulation-briefing","Sponzor chce celý obsah sezení","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M09-MASTER","9","masterclass","NLP bez magie a léčebných slibů","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M09-LAB","9","lab-briefing","Tři experimenty s předregistrací","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M09-SIM","9","simulation-briefing","Klientka chce vymazat trauma","1–1.5 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
"LC-M10-MASTER","10","masterclass","Rapport bez čtení mysli","10–14 min","locked-card","pending","pending","not-shot","not-edited","not-published"
"LC-M10-LAB","10","lab-briefing","Kalibrace vlastního dopadu","2–4 min","locked-card","pending","as-needed","not-shot","not-edited","not-published"
